Product	Supplier
"[{""level"":1,""id"":""Kids Sweat Round Neck,Large Logo""},{""level"":2,""id"":""A-Team, Kids""},{""level"":3,""id"":""Children Sports""},{""level"":4,""id"":""Children""},{""level"":5,""id"":""210200100009""}]"	"[{""level"":""Name"",""id"":""A Team Sports""},{""level"":""Country"",""id"":""US""},{""level"":""ID"",""id"":""3298""}]"
"[{""level"":1,""id"":""Sweatshirt Children's O-Neck""},{""level"":2,""id"":""A-Team, Kids""},{""level"":3,""id"":""Children Sports""},{""level"":4,""id"":""Children""},{""level"":5,""id"":""210200100017""}]"	"[{""level"":""Name"",""id"":""A Team Sports""},{""level"":""Country"",""id"":""US""},{""level"":""ID"",""id"":""3298""}]"
"[{""level"":1,""id"":""Sunfit Slow Swimming Trunks""},{""level"":2,""id"":""Bathing Suits, Kids""},{""level"":3,""id"":""Children Sports""},{""level"":4,""id"":""Children""},{""level"":5,""id"":""210200200022""}]"	"[{""level"":""Name"",""id"":""Nautlius SportsWear Inc""},{""level"":""Country"",""id"":""US""},{""level"":""ID"",""id"":""6153""}]"
"[{""level"":1,""id"":""Sunfit Stockton Swimming Trunks Jr.""},{""level"":2,""id"":""Bathing Suits, Kids""},{""level"":3,""id"":""Children Sports""},{""level"":4,""id"":""Children""},{""level"":5,""id"":""210200200023""}]"	"[{""level"":""Name"",""id"":""Nautlius SportsWear Inc""},{""level"":""Country"",""id"":""US""},{""level"":""ID"",""id"":""6153""}]"
"[{""level"":1,""id"":""Fleece Cuff Pant Kid'S""},{""level"":2,""id"":""Eclipse, Kid's Clothes""},{""level"":3,""id"":""Children Sports""},{""level"":4,""id"":""Children""},{""level"":5,""id"":""210200300006""}]"	"[{""level"":""Name"",""id"":""Eclipse Inc""},{""level"":""Country"",""id"":""US""},{""level"":""ID"",""id"":""1303""}]"
"[{""level"":1,""id"":""Hsc Dutch Player Shirt Junior""},{""level"":2,""id"":""Eclipse, Kid's Clothes""},{""level"":3,""id"":""Children Sports""},{""level"":4,""id"":""Children""},{""level"":5,""id"":""210200300007""}]"	"[{""level"":""Name"",""id"":""Eclipse Inc""},{""level"":""Country"",""id"":""US""},{""level"":""ID"",""id"":""1303""}]"
"[{""level"":1,""id"":""Tony's Cut & Sew T-Shirt""},{""level"":2,""id"":""Eclipse, Kid's Clothes""},{""level"":3,""id"":""Children Sports""},{""level"":4,""id"":""Children""},{""level"":5,""id"":""210200300052""}]"	"[{""level"":""Name"",""id"":""Eclipse Inc""},{""level"":""Country"",""id"":""US""},{""level"":""ID"",""id"":""1303""}]"
"[{""level"":1,""id"":""Kids Baby Edge Max Shoes""},{""level"":2,""id"":""Eclipse, Kid's Shoes""},{""level"":3,""id"":""Children Sports""},{""level"":4,""id"":""Children""},{""level"":5,""id"":""210200400020""}]"	"[{""level"":""Name"",""id"":""Eclipse Inc""},{""level"":""Country"",""id"":""US""},{""level"":""ID"",""id"":""1303""}]"
"[{""level"":1,""id"":""Tony's Children's Deschutz (Bg) Shoes""},{""level"":2,""id"":""Eclipse, Kid's Shoes""},{""level"":3,""id"":""Children Sports""},{""level"":4,""id"":""Children""},{""level"":5,""id"":""210200400070""}]"	"[{""level"":""Name"",""id"":""Eclipse Inc""},{""level"":""Country"",""id"":""US""},{""level"":""ID"",""id"":""1303""}]"
"[{""level"":1,""id"":""Children's Mitten""},{""level"":2,""id"":""Lucky Guy, Kids""},{""level"":3,""id"":""Children Sports""},{""level"":4,""id"":""Children""},{""level"":5,""id"":""210200500002""}]"	"[{""level"":""Name"",""id"":""AllSeasons Outdoor Clothing""},{""level"":""Country"",""id"":""US""},{""level"":""ID"",""id"":""772""}]"
