"supplier_name","product_line","frequency"
"3Top Sports","Clothes & Shoes","          54"
"A Team Sports","Sports","          44"
"AllSeasons Outdoor C","Outdoors","          20"
"British Sports Ltd","Sports","          18"
"Carolina Sports","Sports","          17"
"CrystalClear Optics","Sports","          21"
"Dolphin Sportswear I","Sports","           3"
"EA Sports Limited","Sports","           2"
"Eclipse Inc","Clothes & Shoes","          74"
"Fga Sports Inc","Sports","           9"
"Force Sports","Sports","          18"
"Fuller Trading Co.","Clothes & Shoes","          20"
"GrandSlam Sporting G","Sports","           6"
"Green Lime Sports In","Clothes & Shoes","           1"
"Greenline Sports Ltd","Clothes & Shoes","           4"
"HighPoint Trading","Sports","        3018"
"KN Outdoor Trading I","Outdoors","           6"
"L\u00fcna sastreria","Sports","          20"
"Magnifico Sports","Sports","          20"
"Massif S.A.","Outdoors","           1"
"Massif S.A.","Sports","           1"
"Mayday Inc","Outdoors","          16"
"Mike Schaeffer Inc","Sports","           9"
"Miller Trading Inc","Sports","          23"
"Nautlius SportsWear","Sports","           5"
"Norsok A/S","Outdoors","           3"
"Outback Outfitters L","Outdoors","           7"
"Petterson AB","Outdoors","          11"
"Prime Sports Ltd","Outdoors","          32"
"Pro Sportswear Inc","Clothes & Shoes","           7"
"Roll-Over Inc","Sports","           7"
"Royal Darts Ltd","Sports","          10"
"Rubby Zapatos S.A.","Sports","           6"
"SD Sporting Goods In","Sports","           3"
"Scandinavian Clothin","Outdoors","           7"
"Sportico","Children","           1"
"Sportico","Sports","           1"
"SportsFan Products L","Sports","           5"
"Svensson Trading AB","Outdoors","           2"
"Teamsports Inc","Sports","           2"
"TeeTime Ltd","Sports","           5"
"Top Sports","Outdoors","          60"
"Top Sports Inc","Sports","           6"
"Toto Outdoor Gear","Outdoors","          10"
"Triffy B.V.","Sports","           4"
"TrimSport B.V.","Sports","          12"
"Triple Sportswear In","Clothes & Shoes","           3"
"Twain Inc","Sports","          16"
"Typhoon Clothing","Clothes & Shoes","           3"
"Ultra Sporting Goods","Clothes & Shoes","           2"
"Van Dammeren Interna","Sports","          63"
"Ypsilon S.A.","Sports","           4"
